Number letter in file: 86376 
--------------------------
Letter |   Num   |   %   |
--------------------------
  A+a  |    7357 |  8.52 |
  B+b  |    2407 |  2.79 |
  C+c  |     660 |  0.76 |
  D+d  |    2165 |  2.51 |
  E+e  |      95 |  0.11 |
  F+f  |    1893 |  2.19 |
  G+g  |      98 |  0.11 |
  H+h  |    7206 |  8.34 |
  I+i  |    1164 |  1.35 |
  J+j  |    2070 |  2.40 |
  K+k  |    4558 |  5.28 |
  L+l  |   10925 | 12.65 |
  M+m  |    1535 |  1.78 |
  N+n  |    1804 |  2.09 |
  O+o  |    5709 |  6.61 |
  P+p  |    5713 |  6.61 |
  Q+q  |     148 |  0.17 |
  R+r  |    1170 |  1.35 |
  S+s  |    3838 |  4.44 |
  T+t  |    2188 |  2.53 |
  U+u  |    5600 |  6.48 |
  V+v  |    6813 |  7.89 |
  W+w  |    1604 |  1.86 |
  X+x  |      41 |  0.05 |
  Y+y  |    4245 |  4.91 |
  Z+z  |    5370 |  6.22 |
Please insert this vector to the beginning of the encrypted file (with symbol '{' and '}'):
{LAHVPOUZKYSBTDJFNWMRICQGEX}
